model,lower,upper,count,mean_probability,observed_win_rate
gradient_boosting,0.0,0.1,45,0.008933840391657346,0.022222222222222223
gradient_boosting,0.1,0.2,1,0.11663998017051497,1.0
gradient_boosting,0.2,0.30000000000000004,3,0.24105172508373043,0.0
gradient_boosting,0.30000000000000004,0.4,5,0.36642494343025866,0.4
gradient_boosting,0.4,0.5,6,0.4876762183004033,0.3333333333333333
qualifying_order,0.0,0.1,45,0.007350490454022199,0.022222222222222223
qualifying_order,0.1,0.2,6,0.12876189859684925,0.16666666666666666
qualifying_order,0.2,0.30000000000000004,3,0.24335759656755007,0.3333333333333333
qualifying_order,0.5,0.6000000000000001,3,0.581840504850319,0.3333333333333333
qualifying_order,0.8,0.9,3,0.8070207445780996,0.6666666666666666
recent_form,0.0,0.1,45,0.013414385269037278,0.022222222222222223
recent_form,0.1,0.2,3,0.1332693694997165,0.3333333333333333
recent_form,0.2,0.30000000000000004,5,0.26687757697276354,0.2
recent_form,0.30000000000000004,0.4,2,0.3369029624700794,0.5
recent_form,0.4,0.5,1,0.4549517624603026,0.0
recent_form,0.6000000000000001,0.7000000000000001,4,0.6333497455324735,0.5
ridge_rank,0.0,0.1,47,0.013816453076606217,0.02127659574468085
ridge_rank,0.1,0.2,4,0.12807640076731389,0.5
ridge_rank,0.2,0.30000000000000004,1,0.2517347772719767,0.0
ridge_rank,0.30000000000000004,0.4,2,0.3099784833827977,0.0
ridge_rank,0.4,0.5,1,0.4400528186886338,0.0
ridge_rank,0.6000000000000001,0.7000000000000001,2,0.6624640511096245,0.5
ridge_rank,0.7000000000000001,0.8,3,0.7338828124615993,0.6666666666666666
uniform,0.1,0.2,60,0.09999999999999996,0.1
